fecha_hora,cpu,ram,disco,ivk,proceso_principal,pid,memoria_mb,diagnostico
2026-06-12 12:59:46,12.8,86.3,85.2,45,chrome.exe,14856,377.68,RAM en estado crítico: posible lentitud durante trabajo en hora pico. | Proceso con mayor consumo de RAM: chrome.exe (377.68 MB).
2026-06-12 13:25:11,11.2,84.3,85.2,45,chrome.exe,14856,385.26,RAM alta: el equipo puede presentar demoras al abrir programas o navegar. | Proceso con mayor consumo de RAM: chrome.exe (385.26 MB).
2026-06-12 14:44:58,15.4,86.2,85.2,45,chrome.exe,2596,384.88,RAM en estado crítico: posible lentitud durante trabajo en hora pico. | Proceso con mayor consumo de RAM: chrome.exe (384.88 MB).
2026-06-12 14:55:24,13.2,84.4,85.5,45,chrome.exe,2596,382.82,RAM alta: el equipo puede presentar demoras al abrir programas o navegar. | Proceso con mayor consumo de RAM: chrome.exe (382.82 MB).
2026-06-12 15:26:52,19.8,89.4,84.6,45,chrome.exe,3000,274.15,RAM en estado crítico: posible lentitud durante trabajo en hora pico. | Proceso con mayor consumo de RAM: chrome.exe (274.15 MB).
2026-06-12 16:15:10,11.7,88.5,84.6,45,chrome.exe,3000,449.02,RAM en estado crítico: posible lentitud durante trabajo en hora pico. | Proceso con mayor consumo de RAM: chrome.exe (449.02 MB).
2026-06-12 17:03:02,23.1,85.6,84.6,45,chrome.exe,3000,459.3,RAM en estado crítico: posible lentitud durante trabajo en hora pico. | Proceso con mayor consumo de RAM: chrome.exe (459.3 MB).
2026-06-12 17:07:37,21.8,86.1,84.6,45,chrome.exe,3000,484.74,RAM en estado crítico: posible lentitud durante trabajo en hora pico. | Proceso con mayor consumo de RAM: chrome.exe (484.74 MB).
2026-06-12 17:38:32,17.8,83.0,84.6,45,chrome.exe,3000,433.58,RAM alta: el equipo puede presentar demoras al abrir programas o navegar. | Proceso con mayor consumo de RAM: chrome.exe (433.58 MB).
2026-06-12 17:42:12,19.8,81.8,84.6,45,chrome.exe,3000,379.86,RAM alta: el equipo puede presentar demoras al abrir programas o navegar. | Proceso con mayor consumo de RAM: chrome.exe (379.86 MB).
