fecha_hora,ram_total_chrome,procesos_chrome,renderizadores,extensiones,gpu,red,almacenamiento
2026-06-13 13:15:27,618.01,9,3,1,1,1,1
2026-06-13 13:48:25,719.61,9,3,1,1,1,1
2026-06-13 23:02:21,650.39,10,3,0,1,1,1
2026-06-13 23:55:19,731.33,10,3,0,1,1,1
2026-06-14 12:31:57,672.67,10,3,1,1,1,1
2026-06-14 13:35:30,552.93,9,3,1,1,1,1
2026-06-14 13:56:01,864.13,9,3,1,1,1,1
2026-06-14 14:30:34,799.99,9,3,1,1,1,1
2026-06-14 14:50:14,832.83,9,3,1,1,1,1
2026-06-14 16:15:28,986.66,9,3,1,1,1,1
2026-06-14 16:27:05,1014.38,9,3,1,1,1,1
2026-06-14 16:42:38,893.8,9,3,1,1,1,1
2026-06-14 16:52:42,1125.6,9,3,1,1,1,1
2026-06-15 13:47:19,585.67,9,3,1,1,1,1
2026-06-15 13:59:53,818.94,9,3,1,1,1,1
2026-06-15 14:18:41,805.11,9,3,1,1,1,1
2026-06-15 14:32:29,720.89,9,3,1,1,1,1
2026-06-15 15:00:38,699.19,9,3,1,1,1,1
2026-06-15 15:17:24,682.72,9,3,1,1,1,1
2026-06-15 15:49:23,616.42,9,3,1,1,1,1
2026-06-15 15:56:22,696.43,9,3,1,1,1,1
2026-06-15 16:02:39,756.18,9,3,1,1,1,1
2026-06-15 16:18:13,823.73,9,3,1,1,1,1
2026-06-15 16:26:03,836.21,9,3,1,1,1,1
2026-06-16 11:28:27,862.71,12,4,1,1,1,1
2026-06-16 17:00:16,752.08,7,3,1,1,1,1
2026-06-16 17:10:45,745.22,7,3,1,1,1,1
2026-06-16 17:15:49,767.32,7,3,1,1,1,1
