fecha,origen,ruta,tipo,aplicacion,tamano_mb,tamano_gb,clasificacion,recuperable_mb,recuperable_gb,recomendacion
2026-06-17 07:58:09,AppData,C:\Users\usuario\AppData,CARPETA_USUARIO,GENERAL,11648.66,11.38,SEGURO_ANALIZAR,1164.87,1.14,Analizar consumo de aplicaciones. No borrar carpetas manualmente.
2026-06-17 07:58:36,AppData_Local,C:\Users\usuario\AppData\Local,CARPETA_USUARIO,GENERAL,7872.58,7.69,SEGURO_ANALIZAR,787.26,0.77,Analizar consumo de aplicaciones. No borrar carpetas manualmente.
2026-06-17 07:58:50,Documents,C:\Users\usuario\Documents,CARPETA_USUARIO,GENERAL,5969.2,5.83,REQUIERE_AUTORIZACION,0,0.0,Revisar documentos grandes antes de mover o respaldar.
2026-06-17 07:58:44,AppData_Roaming,C:\Users\usuario\AppData\Roaming,CARPETA_USUARIO,GENERAL,2946.6,2.88,SEGURO_ANALIZAR,294.66,0.29,Analizar consumo de aplicaciones. No borrar carpetas manualmente.
2026-06-17 07:59:02,PycharmProjects,C:\Users\usuario\PycharmProjects,CARPETA_USUARIO,GENERAL,2886.55,2.82,REQUIERE_AUTORIZACION,0,0.0,"Revisar proyectos grandes, entornos virtuales y archivos temporales."
2026-06-17 07:59:21,AppData,C:\Users\usuario\AppData\Local\Microsoft,APLICACION_APPDATA,Microsoft,1210.74,1.18,SEGURO_ANALIZAR,121.07,0.12,Aplicacion detectada en AppData. Revisar antes de cualquier limpieza.
2026-06-17 07:59:05,AppData,C:\Users\usuario\AppData\Local\Google,APLICACION_APPDATA,Google,1029.05,1.0,SEGURO_ANALIZAR,102.91,0.1,Aplicacion detectada en AppData. Revisar antes de cualquier limpieza.
2026-06-17 07:59:27,Chrome,C:\Users\usuario\AppData\Local\Google\Chrome\User Data,CHROME_TOTAL,Chrome,1028.95,1.0,REQUIERE_AUTORIZACION,0,0.0,"No borrar User Data. Contiene perfiles, historial, sesiones y datos del usuario."
2026-06-17 07:58:45,AppData_LocalLow,C:\Users\usuario\AppData\LocalLow,CARPETA_USUARIO,GENERAL,829.73,0.81,SEGURO_ANALIZAR,82.97,0.08,Analizar consumo de aplicaciones. No borrar carpetas manualmente.
2026-06-17 07:59:02,AppData,C:\Users\usuario\AppData\Local\Adobe,APLICACION_APPDATA,Adobe,763.46,0.75,SEGURO_ANALIZAR,76.35,0.07,Aplicacion detectada en AppData. Revisar antes de cualquier limpieza.
2026-06-17 07:59:18,AppData,C:\Users\usuario\AppData\Local\JetBrains,APLICACION_APPDATA,JetBrains,573.36,0.56,SEGURO_ANALIZAR,57.34,0.06,Aplicacion detectada en AppData. Revisar antes de cualquier limpieza.
2026-06-17 07:59:28,Chrome,C:\Users\usuario\AppData\Local\Google\Chrome\User Data\Default,CHROME_PERFIL,Chrome,431.56,0.42,NO_TOCAR,0,0.0,Perfil de usuario. No borrar manualmente.
2026-06-17 07:59:25,AppData,C:\Users\usuario\AppData\Roaming\Zoom,APLICACION_APPDATA,Zoom,254.86,0.25,SEGURO_ANALIZAR,25.49,0.02,Aplicacion detectada en AppData. Revisar antes de cualquier limpieza.
2026-06-17 07:59:22,AppData,C:\Users\usuario\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy,APLICACION_APPDATA,Microsoft,243.63,0.24,SEGURO_ANALIZAR,24.36,0.02,Aplicacion detectada en AppData. Revisar antes de cualquier limpieza.
2026-06-17 07:59:23,AppData,C:\Users\usuario\AppData\Local\Zoom,APLICACION_APPDATA,Zoom,209.71,0.2,SEGURO_ANALIZAR,20.97,0.02,Aplicacion detectada en AppData. Revisar antes de cualquier limpieza.
2026-06-17 07:59:28,Chrome,C:\Users\usuario\AppData\Local\Google\Chrome\User Data\Default\Code Cache,CHROME_CODE_CACHE,Chrome,201.37,0.2,POSIBLE_LIMPIEZA,171.16,0.17,Code Cache de Chrome. Posible limpieza con autorizacion.
2026-06-17 07:59:21,AppData,C:\Users\usuario\AppData\Local\Mozilla,APLICACION_APPDATA,Mozilla,197.16,0.19,SEGURO_ANALIZAR,19.72,0.02,Aplicacion detectada en AppData. Revisar antes de cualquier limpieza.
2026-06-17 07:59:23,AppData,C:\Users\usuario\AppData\Roaming\Mozilla,APLICACION_APPDATA,Mozilla,188.82,0.18,SEGURO_ANALIZAR,18.88,0.02,Aplicacion detectada en AppData. Revisar antes de cualquier limpieza.
2026-06-17 07:59:25,AppData,C:\Users\usuario\AppData\LocalLow\Adobe,APLICACION_APPDATA,Adobe,148.36,0.14,SEGURO_ANALIZAR,14.84,0.01,Aplicacion detectada en AppData. Revisar antes de cualquier limpieza.
2026-06-17 07:59:23,AppData,C:\Users\usuario\AppData\Roaming\Microsoft,APLICACION_APPDATA,Microsoft,125.95,0.12,SEGURO_ANALIZAR,12.6,0.01,Aplicacion detectada en AppData. Revisar antes de cualquier limpieza.
2026-06-17 07:59:28,Chrome,C:\Users\usuario\AppData\Local\Google\Chrome\User Data\Default\Service Worker\CacheStorage,CHROME_SERVICE_WORKER_CACHE,Chrome,84.96,0.08,POSIBLE_LIMPIEZA,72.22,0.07,Service Worker CacheStorage. Revisar antes de limpiar.
2026-06-17 07:59:21,AppData,C:\Users\usuario\AppData\Local\Packages\AdobeSystemsIncorporated.AdobePhotoshopExpress_mtcwf2zmmt10c,APLICACION_APPDATA,Adobe,64.14,0.06,SEGURO_ANALIZAR,6.41,0.01,Aplicacion detectada en AppData. Revisar antes de cualquier limpieza.
2026-06-17 07:59:28,Chrome,C:\Users\usuario\AppData\Local\Google\Chrome\User Data\Guest Profile,CHROME_PERFIL,Chrome,37.62,0.04,NO_TOCAR,0,0.0,Perfil de usuario. No borrar manualmente.
2026-06-17 07:59:22,AppData,C:\Users\usuario\AppData\Local\Packages\Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy,APLICACION_APPDATA,Microsoft,26.15,0.03,SEGURO_ANALIZAR,2.62,0.0,Aplicacion detectada en AppData. Revisar antes de cualquier limpieza.
2026-06-17 07:59:21,AppData,C:\Users\usuario\AppData\Local\Packages\Microsoft.GetHelp_8wekyb3d8bbwe,APLICACION_APPDATA,Microsoft,24.6,0.02,SEGURO_ANALIZAR,2.46,0.0,Aplicacion detectada en AppData. Revisar antes de cualquier limpieza.
2026-06-17 07:59:28,Chrome,C:\Users\usuario\AppData\Local\Google\Chrome\User Data\Profile 5,CHROME_PERFIL,Chrome,23.87,0.02,NO_TOCAR,0,0.0,Perfil de usuario. No borrar manualmente.
2026-06-17 07:59:22,AppData,C:\Users\usuario\AppData\Local\Packages\Microsoft.SkypeApp_kzf8qxf38zg5c,APLICACION_APPDATA,Microsoft,22.79,0.02,SEGURO_ANALIZAR,2.28,0.0,Aplicacion detectada en AppData. Revisar antes de cualquier limpieza.
2026-06-17 07:58:50,Downloads,C:\Users\usuario\Downloads,CARPETA_USUARIO,GENERAL,22.56,0.02,REQUIERE_AUTORIZACION,0,0.0,"Revisar descargas antiguas, duplicados o instaladores."
2026-06-17 07:59:28,Chrome,C:\Users\usuario\AppData\Local\Google\Chrome\User Data\Default\Cache,CHROME_CACHE,Chrome,22.21,0.02,POSIBLE_LIMPIEZA,18.88,0.02,Cache de Chrome. Posible limpieza con autorizacion.
2026-06-17 07:59:28,Chrome,C:\Users\usuario\AppData\Local\Google\Chrome\User Data\Profile 1,CHROME_PERFIL,Chrome,21.7,0.02,NO_TOCAR,0,0.0,Perfil de usuario. No borrar manualmente.
2026-06-17 07:59:02,AppData,C:\Users\usuario\AppData\Local\Docker,APLICACION_APPDATA,Docker,20.11,0.02,SEGURO_ANALIZAR,2.01,0.0,Aplicacion detectada en AppData. Revisar antes de cualquier limpieza.
2026-06-17 07:59:25,AppData,C:\Users\usuario\AppData\LocalLow\Microsoft,APLICACION_APPDATA,Microsoft,15.48,0.02,SEGURO_ANALIZAR,1.55,0.0,Aplicacion detectada en AppData. Revisar antes de cualquier limpieza.
2026-06-17 07:59:23,AppData,C:\Users\usuario\AppData\Local\Packages\Microsoft.ZuneVideo_8wekyb3d8bbwe,APLICACION_APPDATA,Microsoft,13.94,0.01,SEGURO_ANALIZAR,1.39,0.0,Aplicacion detectada en AppData. Revisar antes de cualquier limpieza.
2026-06-17 07:59:23,AppData,C:\Users\usuario\AppData\Local\Packages\microsoft.windowscommunicationsapps_8wekyb3d8bbwe,APLICACION_APPDATA,Microsoft,12.73,0.01,SEGURO_ANALIZAR,1.27,0.0,Aplicacion detectada en AppData. Revisar antes de cualquier limpieza.
2026-06-17 07:59:23,AppData,C:\Users\usuario\AppData\Local\Packages\Microsoft.ZuneMusic_8wekyb3d8bbwe,APLICACION_APPDATA,Microsoft,11.21,0.01,SEGURO_ANALIZAR,1.12,0.0,Aplicacion detectada en AppData. Revisar antes de cualquier limpieza.
2026-06-17 07:59:28,Chrome,C:\Users\usuario\AppData\Local\Google\Chrome\User Data\Profile 4,CHROME_PERFIL,Chrome,11.03,0.01,NO_TOCAR,0,0.0,Perfil de usuario. No borrar manualmente.
2026-06-17 07:59:22,AppData,C:\Users\usuario\AppData\Local\Packages\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe,APLICACION_APPDATA,Microsoft,10.41,0.01,SEGURO_ANALIZAR,1.04,0.0,Aplicacion detectada en AppData. Revisar antes de cualquier limpieza.
2026-06-17 07:59:28,Chrome,C:\Users\usuario\AppData\Local\Google\Chrome\User Data\Profile 1\Cache,CHROME_CACHE,Chrome,8.74,0.01,POSIBLE_LIMPIEZA,7.43,0.01,Cache de Chrome. Posible limpieza con autorizacion.
2026-06-17 07:59:22,AppData,C:\Users\usuario\AppData\Local\Packages\Microsoft.Windows.Photos_8wekyb3d8bbwe,APLICACION_APPDATA,Microsoft,7.32,0.01,SEGURO_ANALIZAR,0.73,0.0,Aplicacion detectada en AppData. Revisar antes de cualquier limpieza.
2026-06-17 07:59:23,AppData,C:\Users\usuario\AppData\Roaming\Docker Desktop,APLICACION_APPDATA,Docker,7.26,0.01,SEGURO_ANALIZAR,0.73,0.0,Aplicacion detectada en AppData. Revisar antes de cualquier limpieza.
2026-06-17 07:59:28,Chrome,C:\Users\usuario\AppData\Local\Google\Chrome\User Data\Profile 5\Cache,CHROME_CACHE,Chrome,6.35,0.01,POSIBLE_LIMPIEZA,5.4,0.01,Cache de Chrome. Posible limpieza con autorizacion.
2026-06-17 07:59:28,Chrome,C:\Users\usuario\AppData\Local\Google\Chrome\User Data\Default\GPUCache,CHROME_GPUCACHE,Chrome,5.57,0.01,POSIBLE_LIMPIEZA,4.73,0.0,GPUCache de Chrome. Posible limpieza con autorizacion.
2026-06-17 07:59:28,Chrome,C:\Users\usuario\AppData\Local\Google\Chrome\User Data\Profile 1\Code Cache,CHROME_CODE_CACHE,Chrome,3.66,0.0,POSIBLE_LIMPIEZA,3.11,0.0,Code Cache de Chrome. Posible limpieza con autorizacion.
2026-06-17 07:59:23,AppData,C:\Users\usuario\AppData\Roaming\Adobe,APLICACION_APPDATA,Adobe,3.6,0.0,SEGURO_ANALIZAR,0.36,0.0,Aplicacion detectada en AppData. Revisar antes de cualquier limpieza.
2026-06-17 07:59:23,AppData,C:\Users\usuario\AppData\Roaming\JetBrains,APLICACION_APPDATA,JetBrains,3.13,0.0,SEGURO_ANALIZAR,0.31,0.0,Aplicacion detectada en AppData. Revisar antes de cualquier limpieza.
2026-06-17 07:59:22,AppData,C:\Users\usuario\AppData\Local\Packages\Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy,APLICACION_APPDATA,Microsoft,1.83,0.0,SEGURO_ANALIZAR,0.18,0.0,Aplicacion detectada en AppData. Revisar antes de cualquier limpieza.
2026-06-17 07:59:23,AppData,C:\Users\usuario\AppData\Local\Packages\Microsoft.WindowsStore_8wekyb3d8bbwe,APLICACION_APPDATA,Microsoft,1.17,0.0,SEGURO_ANALIZAR,0.12,0.0,Aplicacion detectada en AppData. Revisar antes de cualquier limpieza.
2026-06-17 07:59:23,AppData,C:\Users\usuario\AppData\Local\Packages\Microsoft.WindowsFeedbackHub_8wekyb3d8bbwe,APLICACION_APPDATA,Microsoft,1.16,0.0,SEGURO_ANALIZAR,0.12,0.0,Aplicacion detectada en AppData. Revisar antes de cualquier limpieza.
2026-06-17 07:59:21,AppData,C:\Users\usuario\AppData\Local\Packages\Microsoft.LockApp_cw5n1h2txyewy,APLICACION_APPDATA,Microsoft,1.08,0.0,SEGURO_ANALIZAR,0.11,0.0,Aplicacion detectada en AppData. Revisar antes de cualquier limpieza.
2026-06-17 07:59:22,AppData,C:\Users\usuario\AppData\Local\Packages\Microsoft.MSPaint_8wekyb3d8bbwe,APLICACION_APPDATA,Microsoft,0.75,0.0,SEGURO_ANALIZAR,0.08,0.0,Aplicacion detectada en AppData. Revisar antes de cualquier limpieza.
2026-06-17 07:59:28,Chrome,C:\Users\usuario\AppData\Local\Google\Chrome\User Data\Profile 1\GPUCache,CHROME_GPUCACHE,Chrome,0.53,0.0,POSIBLE_LIMPIEZA,0.45,0.0,GPUCache de Chrome. Posible limpieza con autorizacion.
2026-06-17 07:59:28,Chrome,C:\Users\usuario\AppData\Local\Google\Chrome\User Data\Profile 5\GPUCache,CHROME_GPUCACHE,Chrome,0.53,0.0,POSIBLE_LIMPIEZA,0.45,0.0,GPUCache de Chrome. Posible limpieza con autorizacion.
2026-06-17 07:59:28,Chrome,C:\Users\usuario\AppData\Local\Google\Chrome\User Data\Profile 5\Code Cache,CHROME_CODE_CACHE,Chrome,0.02,0.0,POSIBLE_LIMPIEZA,0.02,0.0,Code Cache de Chrome. Posible limpieza con autorizacion.
