fecha,origen,accion,clasificacion,autorizacion,ejecutada,resultado,liberado_mb,eliminados,errores,antes_cpu,antes_ram,antes_disco,antes_espacio_libre,antes_ivk,despues_cpu,despues_ram,despues_disco,despues_espacio_libre,despues_ivk
2026-06-17 08:24:36,KCD_BASE,Limpiar temporales KCD.,SEGURA,SI,SI,EJECUTADO,0.0,0,0,36.2,88.07,92.4,7.64,45.0,13.83,84.63,92.4,7.64,45.0
2026-06-17 08:25:25,BLOQUE_10,Monitorear aplicaciones de alto consumo.,REQUIERE_AUTORIZACION,SI,SI,SOLO_REGISTRO_MANUAL,0,0,0,36.2,88.07,92.4,7.64,45.0,11.1,85.77,92.4,7.64,45.0
2026-06-17 08:26:01,BLOQUE_10,Programar limpieza preventiva de almacenamiento.,REQUIERE_AUTORIZACION,NO,NO,NO_AUTORIZADA,0,0,0,36.2,88.07,92.4,7.64,45.0,12.73,86.5,92.4,7.64,45.0
2026-06-17 08:26:16,BLOQUE_10,Preparar accion de liberacion de espacio para Bloque 10.,REQUIERE_AUTORIZACION,NO,NO,NO_AUTORIZADA,0,0,0,36.2,88.07,92.4,7.64,45.0,10.07,86.3,92.4,7.64,45.0
2026-06-17 08:26:29,BLOQUE_10,Preparar remediacion con Bloque 10 y validar con Bloque 11.,REQUIERE_AUTORIZACION,NO,NO,NO_AUTORIZADA,0,0,0,36.2,88.07,92.4,7.64,45.0,8.8,86.03,92.4,7.64,45.0
2026-06-17 08:26:34,BLOQUE_10,Revisar AppData Local y caches de aplicaciones. No borrar carpetas manualmente.,SOLO_MANUAL,NO,NO,NO_AUTORIZADA,0,0,0,36.2,88.07,92.4,7.64,45.0,9.77,85.9,92.4,7.64,45.0
2026-06-17 08:26:55,BLOQUE_14,Evaluar ampliacion fisica de memoria RAM.,REQUIERE_AUTORIZACION,NO,NO,NO_AUTORIZADA,0,0,0,36.2,88.07,92.4,7.64,45.0,8.53,85.8,92.4,7.64,45.0
2026-06-17 08:27:07,BLOQUE_14,Liberar espacio en disco mediante limpieza segura autorizada.,REQUIERE_AUTORIZACION,NO,NO,NO_AUTORIZADA,0,0,0,36.2,88.07,92.4,7.64,45.0,12.2,85.8,92.4,7.64,45.0
2026-06-17 08:27:23,BLOQUE_14,Preparar optimizacion preventiva con Bloque 10 y validar con Bloque 11.,REQUIERE_AUTORIZACION,NO,NO,NO_AUTORIZADA,0,0,0,36.2,88.07,92.4,7.64,45.0,8.9,86.67,92.4,7.64,45.0
2026-06-17 08:27:45,BLOQUE_14,Revisar saturacion de RAM y preparar plan de remediacion.,REQUIERE_AUTORIZACION,NO,NO,NO_AUTORIZADA,0,0,0,36.2,88.07,92.4,7.64,45.0,10.07,87.1,92.4,7.64,45.0
